"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Cancel on checkout step one returns to the cart, keeping its items","1510","cancelOnStepOneReturnsToCart()","","2026-09-10","passed","2026-09-10","","com.swaglabs.tests.CheckoutTests","com.swaglabs.tests.CheckoutTests","cancelOnStepOneReturnsToCart"
"An item added to the cart survives a round trip through its product details page","1545","cartSurvivesProductDetailsRoundTrip()","","2026-09-10","passed","2026-09-10","","com.swaglabs.tests.CartTests","com.swaglabs.tests.CartTests","cartSurvivesProductDetailsRoundTrip"
"Cancel on the checkout overview (step two) returns to the full inventory","1848","cancelOnStepTwoReturnsToProducts()","","2026-09-10","passed","2026-09-10","","com.swaglabs.tests.CheckoutTests","com.swaglabs.tests.CheckoutTests","cancelOnStepTwoReturnsToProducts"
"Reset App State (hamburger menu) clears any items previously added to the cart","10595","resetAppStateClearsCart()","","2026-09-10","passed","2026-09-10","","com.swaglabs.tests.CartTests","com.swaglabs.tests.CartTests","resetAppStateClearsCart"
"Checkout step one rejects submission when the last name is missing","1757","checkoutRequiresLastName()","","2026-09-10","passed","2026-09-10","","com.swaglabs.tests.CheckoutTests","com.swaglabs.tests.CheckoutTests","checkoutRequiresLastName"
"A user can log out and log back in with the same credentials","1696","canLogOutAndLogBackIn()","","2026-09-10","passed","2026-09-10","","com.swaglabs.tests.LoginTests","com.swaglabs.tests.LoginTests","canLogOutAndLogBackIn"
"Invalid credentials are rejected with the exact Swag Labs error message","1129","invalidLoginIsRejected(String, String, String) no_such_user/secret_sauce -> ""Epic sadface: Username and password do not match any user in this service""","","2026-09-10","passed","2026-09-10","","com.swaglabs.tests.LoginTests","com.swaglabs.tests.LoginTests","invalidLoginIsRejected"
"The order overview's subtotal, tax and total are all present and numerically consistent","1852","checkoutOverviewTotalsAreConsistent()","","2026-09-10","passed","2026-09-10","","com.swaglabs.tests.CheckoutTests","com.swaglabs.tests.CheckoutTests","checkoutOverviewTotalsAreConsistent"
"A full checkout with valid buyer info completes and shows the confirmation page","1869","canCompleteCheckoutWithValidInfo()","","2026-09-10","passed","2026-09-10","","com.swaglabs.tests.CheckoutTests","com.swaglabs.tests.CheckoutTests","canCompleteCheckoutWithValidInfo"
"Invalid credentials are rejected with the exact Swag Labs error message","1102","invalidLoginIsRejected(String, String, String) standard_user/ -> ""Epic sadface: Password is required""","","2026-09-10","passed","2026-09-10","","com.swaglabs.tests.LoginTests","com.swaglabs.tests.LoginTests","invalidLoginIsRejected"
"Sorting by price, high to low, puts the priciest item first","1217","canSortProductsByPriceHighToLow()","","2026-09-10","passed","2026-09-10","","com.swaglabs.tests.ProductTests","com.swaglabs.tests.ProductTests","canSortProductsByPriceHighToLow"
"Navigating directly to the inventory page without logging in is rejected","1003","cannotAccessInventoryPageDirectlyWithoutLogin()","","2026-09-10","passed","2026-09-10","","com.swaglabs.tests.LoginTests","com.swaglabs.tests.LoginTests","cannotAccessInventoryPageDirectlyWithoutLogin"
"Checkout step one rejects submission when the first name is missing","1783","checkoutRequiresFirstName()","","2026-09-10","passed","2026-09-10","","com.swaglabs.tests.CheckoutTests","com.swaglabs.tests.CheckoutTests","checkoutRequiresFirstName"
"Invalid credentials are rejected with the exact Swag Labs error message","1164","invalidLoginIsRejected(String, String, String) locked_out_user/secret_sauce -> ""Epic sadface: Sorry, this user has been locked out.""","","2026-09-10","passed","2026-09-10","","com.swaglabs.tests.LoginTests","com.swaglabs.tests.LoginTests","invalidLoginIsRejected"
"A standard user can log in and lands on the products page","1119","standardUserCanLogIn()","","2026-09-10","passed","2026-09-10","","com.swaglabs.tests.LoginTests","com.swaglabs.tests.LoginTests","standardUserCanLogIn"
"Adding a product to the cart from the inventory list updates the cart badge","1245","addingProductUpdatesCartBadge()","","2026-09-10","passed","2026-09-10","","com.swaglabs.tests.ProductTests","com.swaglabs.tests.ProductTests","addingProductUpdatesCartBadge"
"Back Home from the order confirmation page returns to the full inventory","2219","backHomeFromConfirmationReturnsToProducts()","","2026-09-10","passed","2026-09-10","","com.swaglabs.tests.CheckoutTests","com.swaglabs.tests.CheckoutTests","backHomeFromConfirmationReturnsToProducts"
"Removing an item from the cart page decreases the item count","1539","canRemoveItemFromCart()","","2026-09-10","passed","2026-09-10","","com.swaglabs.tests.CartTests","com.swaglabs.tests.CartTests","canRemoveItemFromCart"
"Sorting by price, low to high, puts the cheapest item first","1280","canSortProductsByPriceLowToHigh()","","2026-09-10","passed","2026-09-10","","com.swaglabs.tests.ProductTests","com.swaglabs.tests.ProductTests","canSortProductsByPriceLowToHigh"
"Checkout step one rejects submission when the postal code is missing","1751","checkoutRequiresPostalCode()","","2026-09-10","passed","2026-09-10","","com.swaglabs.tests.CheckoutTests","com.swaglabs.tests.CheckoutTests","checkoutRequiresPostalCode"
"Adding every seeded product updates the cart badge to match the full count","2035","addingAllProductsUpdatesBadgeToSix()","","2026-09-10","passed","2026-09-10","","com.swaglabs.tests.ProductTests","com.swaglabs.tests.ProductTests","addingAllProductsUpdatesBadgeToSix"
"Adding a product from its details page also updates the cart badge","1367","addingProductFromDetailsPageUpdatesCartBadge()","","2026-09-10","passed","2026-09-10","","com.swaglabs.tests.ProductTests","com.swaglabs.tests.ProductTests","addingProductFromDetailsPageUpdatesCartBadge"
"The cart badge disappears entirely (not just showing zero) once the cart is emptied","1420","cartBadgeDisappearsWhenCartBecomesEmpty()","","2026-09-10","passed","2026-09-10","","com.swaglabs.tests.CartTests","com.swaglabs.tests.CartTests","cartBadgeDisappearsWhenCartBecomesEmpty"
"Opening a product from the inventory list shows its details page","1245","canOpenProductDetails()","","2026-09-10","passed","2026-09-10","","com.swaglabs.tests.ProductTests","com.swaglabs.tests.ProductTests","canOpenProductDetails"
"Items added on the products page appear in the cart","1449","addedItemsAppearInCart()","","2026-09-10","passed","2026-09-10","","com.swaglabs.tests.CartTests","com.swaglabs.tests.CartTests","addedItemsAppearInCart"
"Inventory page lists all six seeded products","1135","productsPageListsSixItems()","","2026-09-10","passed","2026-09-10","","com.swaglabs.tests.ProductTests","com.swaglabs.tests.ProductTests","productsPageListsSixItems"
"Checkout can be completed even when the cart is empty","1970","canCheckoutWithEmptyCart()","","2026-09-10","passed","2026-09-10","","com.swaglabs.tests.CheckoutTests","com.swaglabs.tests.CheckoutTests","canCheckoutWithEmptyCart"
"Continue Shopping returns from the cart to the full inventory page","1418","continueShoppingReturnsToProducts()","","2026-09-10","passed","2026-09-10","","com.swaglabs.tests.CartTests","com.swaglabs.tests.CartTests","continueShoppingReturnsToProducts"
