"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"An item added to the cart survives a round trip through its product details page","1598","Verify that an item added to the cart survives a round trip through its product details page","","2026-09-14","passed","2026-09-14","","com.swaglabs.tests.CartTests","com.swaglabs.tests.CartTests","cartSurvivesProductDetailsRoundTrip"
"Invalid credentials are rejected with the exact Swag Labs error message","1110","invalidLoginIsRejected(String, String, String) Verify that login is rejected for standard_user","","2026-09-14","passed","2026-09-14","","com.swaglabs.tests.LoginTests","com.swaglabs.tests.LoginTests","invalidLoginIsRejected"
"Checkout step one rejects submission when the first name is missing","2258","Verify that checkout step one rejects submission when the first name is missing","","2026-09-14","passed","2026-09-14","","com.swaglabs.tests.CheckoutTests","com.swaglabs.tests.CheckoutTests","checkoutRequiresFirstName"
"Invalid credentials are rejected with the exact Swag Labs error message","1123","invalidLoginIsRejected(String, String, String) Verify that login is rejected for locked_out_user","","2026-09-14","passed","2026-09-14","","com.swaglabs.tests.LoginTests","com.swaglabs.tests.LoginTests","invalidLoginIsRejected"
"Adding a product from its details page also updates the cart badge","1330","Verify that adding a product from its details page also updates the cart badge","","2026-09-14","passed","2026-09-14","","com.swaglabs.tests.ProductTests","com.swaglabs.tests.ProductTests","addingProductFromDetailsPageUpdatesCartBadge"
"Inventory page lists all six seeded products","1114","Verify that the inventory page lists all six seeded products","","2026-09-14","passed","2026-09-14","","com.swaglabs.tests.ProductTests","com.swaglabs.tests.ProductTests","productsPageListsSixItems"
"Continue Shopping returns from the cart to the full inventory pages","1616","Verify that Continue Shopping returns from the cart to the full inventory pagess","","2026-09-14","passed","2026-09-14","","com.swaglabs.tests.CartTests","com.swaglabs.tests.CartTests","continueShoppingReturnsToProducts"
"A user can log out and log back in with the same credentials","1851","Verify that a user can log out and log back in with the same credentials","","2026-09-14","passed","2026-09-14","","com.swaglabs.tests.LoginTests","com.swaglabs.tests.LoginTests","canLogOutAndLogBackIn"
"Sorting by price, high to low, puts the priciest item first","1222","Verify that sorting by price high to low puts the priciest item first","","2026-09-14","passed","2026-09-14","","com.swaglabs.tests.ProductTests","com.swaglabs.tests.ProductTests","canSortProductsByPriceHighToLow"
"Sorting by price, low to high, puts the cheapest item first","1200","Verify that sorting by price low to high puts the cheapest item first","","2026-09-14","passed","2026-09-14","","com.swaglabs.tests.ProductTests","com.swaglabs.tests.ProductTests","canSortProductsByPriceLowToHigh"
"A full checkout with valid buyer info completes and shows the confirmation page","1861","Verify that a full checkout with valid buyer info completes and shows the confirmation page","","2026-09-14","passed","2026-09-14","","com.swaglabs.tests.CheckoutTests","com.swaglabs.tests.CheckoutTests","canCompleteCheckoutWithValidInfo"
"Navigating directly to the inventory page without logging in is rejected","954","Verify that navigating directly to the inventory page without logging in is rejected","","2026-09-14","passed","2026-09-14","","com.swaglabs.tests.LoginTests","com.swaglabs.tests.LoginTests","cannotAccessInventoryPageDirectlyWithoutLogin"
"Items added on the products page appear in the cart","1408","Verify that items added on the products page appear in the cartt","","2026-09-14","passed","2026-09-14","","com.swaglabs.tests.CartTests","com.swaglabs.tests.CartTests","addedItemsAppearInCart"
"The cart badge disappears entirely (not just showing zero) once the cart is emptied","1395","Verify that the cart badge disappears entirely once the cart is emptied","","2026-09-14","passed","2026-09-14","","com.swaglabs.tests.CartTests","com.swaglabs.tests.CartTests","cartBadgeDisappearsWhenCartBecomesEmpty"
