"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"A user can log out and log back in with the same credentials","1891","Verify that a user can log out and log back in with the same credentials","","2026-09-11","passed","2026-09-11","","com.swaglabs.tests.LoginTests","com.swaglabs.tests.LoginTests","canLogOutAndLogBackIn"
"Continue Shopping returns from the cart to the full inventory page","1387","Verify that Continue Shopping returns from the cart to the full inventory page","","2026-09-11","passed","2026-09-11","","com.swaglabs.tests.CartTests","com.swaglabs.tests.CartTests","continueShoppingReturnsToProducts"
"Sorting by price, high to low, puts the priciest item first","1408","Verify that sorting by price high to low puts the priciest item first","","2026-09-11","passed","2026-09-11","","com.swaglabs.tests.ProductTests","com.swaglabs.tests.ProductTests","canSortProductsByPriceHighToLow"
"Navigating directly to the inventory page without logging in is rejected","888","Verify that navigating directly to the inventory page without logging in is rejected","","2026-09-11","passed","2026-09-11","","com.swaglabs.tests.LoginTests","com.swaglabs.tests.LoginTests","cannotAccessInventoryPageDirectlyWithoutLogin"
"Removing an item from the cart page decreases the item count","1520","Verify that removing an item from the cart page decreases the item count","","2026-09-11","passed","2026-09-11","","com.swaglabs.tests.CartTests","com.swaglabs.tests.CartTests","canRemoveItemFromCart"
"Invalid credentials are rejected with the exact Swag Labs error message","1067","invalidLoginIsRejected(String, String, String) Verify that login is rejected for standard_user","","2026-09-11","passed","2026-09-11","","com.swaglabs.tests.LoginTests","com.swaglabs.tests.LoginTests","invalidLoginIsRejected"
"Adding a product from its details page also updates the cart badge","1322","Verify that adding a product from its details page also updates the cart badge","","2026-09-11","passed","2026-09-11","","com.swaglabs.tests.ProductTests","com.swaglabs.tests.ProductTests","addingProductFromDetailsPageUpdatesCartBadge"
"Checkout step one rejects submission when the postal code is missing","1746","Verify that checkout step one rejects submission when the postal code is missing","","2026-09-11","passed","2026-09-11","","com.swaglabs.tests.CheckoutTests","com.swaglabs.tests.CheckoutTests","checkoutRequiresPostalCode"
"Back Home from the order confirmation page returns to the full inventory","1872","Verify that Back Home from the order confirmation page returns to the full inventory","","2026-09-11","passed","2026-09-11","","com.swaglabs.tests.CheckoutTests","com.swaglabs.tests.CheckoutTests","backHomeFromConfirmationReturnsToProducts"
"Invalid credentials are rejected with the exact Swag Labs error message","1084","invalidLoginIsRejected(String, String, String) Verify that login is rejected for no_such_user","","2026-09-11","passed","2026-09-11","","com.swaglabs.tests.LoginTests","com.swaglabs.tests.LoginTests","invalidLoginIsRejected"
"The cart badge disappears entirely (not just showing zero) once the cart is emptied","1408","Verify that the cart badge disappears entirely once the cart is emptied","","2026-09-11","passed","2026-09-11","","com.swaglabs.tests.CartTests","com.swaglabs.tests.CartTests","cartBadgeDisappearsWhenCartBecomesEmpty"
"Cancel on checkout step one returns to the cart, keeping its items","1478","Verify that Cancel on checkout step one returns to the cart, keeping its items","","2026-09-11","passed","2026-09-11","","com.swaglabs.tests.CheckoutTests","com.swaglabs.tests.CheckoutTests","cancelOnStepOneReturnsToCart"
"Checkout step one rejects submission when the last name is missing","1880","Verify that checkout step one rejects submission when the last name is missing","","2026-09-11","passed","2026-09-11","","com.swaglabs.tests.CheckoutTests","com.swaglabs.tests.CheckoutTests","checkoutRequiresLastName"
"Items added on the products page appear in the cart","1412","Verify that items added on the products page appear in the cart","","2026-09-11","passed","2026-09-11","","com.swaglabs.tests.CartTests","com.swaglabs.tests.CartTests","addedItemsAppearInCart"
"The order overview's subtotal, tax and total are all present and numerically consistent","1837","Verify that the order overview's subtotal, tax and total are numerically consistent","","2026-09-11","passed","2026-09-11","","com.swaglabs.tests.CheckoutTests","com.swaglabs.tests.CheckoutTests","checkoutOverviewTotalsAreConsistent"
"Adding a product to the cart from the inventory list updates the cart badge","1249","Verify that adding a product to the cart from the inventory list updates the cart badge","","2026-09-11","passed","2026-09-11","","com.swaglabs.tests.ProductTests","com.swaglabs.tests.ProductTests","addingProductUpdatesCartBadge"
"Reset App State (hamburger menu) clears any items previously added to the cart","18261","Verify that Reset App State clears any items previously added to the cart","","2026-09-11","passed","2026-09-11","","com.swaglabs.tests.CartTests","com.swaglabs.tests.CartTests","resetAppStateClearsCart"
"Adding every seeded product updates the cart badge to match the full count","2068","Verify that adding every seeded product updates the cart badge to six","","2026-09-11","passed","2026-09-11","","com.swaglabs.tests.ProductTests","com.swaglabs.tests.ProductTests","addingAllProductsUpdatesBadgeToSix"
"Checkout step one rejects submission when the first name is missing","1807","Verify that checkout step one rejects submission when the first name is missing","","2026-09-11","passed","2026-09-11","","com.swaglabs.tests.CheckoutTests","com.swaglabs.tests.CheckoutTests","checkoutRequiresFirstName"
"Checkout can be completed even when the cart is empty","1938","Verify that checkout can be completed even when the cart is empty","","2026-09-11","passed","2026-09-11","","com.swaglabs.tests.CheckoutTests","com.swaglabs.tests.CheckoutTests","canCheckoutWithEmptyCart"
"A standard user can log in and lands on the products page","1109","Verify that a standard user can log in and land on the products page","","2026-09-11","passed","2026-09-11","","com.swaglabs.tests.LoginTests","com.swaglabs.tests.LoginTests","standardUserCanLogIn"
"Opening a product from the inventory list shows its details page","1264","Verify that opening a product from the inventory list shows its details page","","2026-09-11","passed","2026-09-11","","com.swaglabs.tests.ProductTests","com.swaglabs.tests.ProductTests","canOpenProductDetails"
"Invalid credentials are rejected with the exact Swag Labs error message","1118","invalidLoginIsRejected(String, String, String) Verify that login is rejected for locked_out_user","","2026-09-11","passed","2026-09-11","","com.swaglabs.tests.LoginTests","com.swaglabs.tests.LoginTests","invalidLoginIsRejected"
"Sorting by price, low to high, puts the cheapest item first","1225","Verify that sorting by price low to high puts the cheapest item first","","2026-09-11","passed","2026-09-11","","com.swaglabs.tests.ProductTests","com.swaglabs.tests.ProductTests","canSortProductsByPriceLowToHigh"
"Inventory page lists all six seeded products","1099","Verify that the inventory page lists all six seeded products","","2026-09-11","passed","2026-09-11","","com.swaglabs.tests.ProductTests","com.swaglabs.tests.ProductTests","productsPageListsSixItems"
"A full checkout with valid buyer info completes and shows the confirmation page","1827","Verify that a full checkout with valid buyer info completes and shows the confirmation page","","2026-09-11","passed","2026-09-11","","com.swaglabs.tests.CheckoutTests","com.swaglabs.tests.CheckoutTests","canCompleteCheckoutWithValidInfo"
"Cancel on the checkout overview (step two) returns to the full inventory","1866","Verify that Cancel on the checkout overview returns to the full inventory","","2026-09-11","passed","2026-09-11","","com.swaglabs.tests.CheckoutTests","com.swaglabs.tests.CheckoutTests","cancelOnStepTwoReturnsToProducts"
"An item added to the cart survives a round trip through its product details page","2541","Verify that an item added to the cart survives a round trip through its product details page","","2026-09-11","passed","2026-09-11","","com.swaglabs.tests.CartTests","com.swaglabs.tests.CartTests","cartSurvivesProductDetailsRoundTrip"
