"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Invalid credentials are rejected with the exact Swag Labs error message","1149","invalidLoginIsRejected(String, String, String) Verify that login is rejected for no_such_user","","2026-09-14","passed","2026-09-14","","com.swaglabs.tests.LoginTests","com.swaglabs.tests.LoginTests","invalidLoginIsRejected"
"Cancel on checkout step one returns to the cart, keeping its items","1572","Verify that Cancel on checkout step one returns to the cart, keeping its items","","2026-09-14","passed","2026-09-14","","com.swaglabs.tests.CheckoutTests","com.swaglabs.tests.CheckoutTests","cancelOnStepOneReturnsToCart"
"Cancel on the checkout overview (step two) returns to the full inventory","2570","Verify that Cancel on the checkout overview returns to the full inventory","","2026-09-14","passed","2026-09-14","","com.swaglabs.tests.CheckoutTests","com.swaglabs.tests.CheckoutTests","cancelOnStepTwoReturnsToProducts"
"The order overview's subtotal, tax and total are all present and numerically consistent","1861","Verify that the order overview's subtotal, tax and total are numerically consistent","","2026-09-14","passed","2026-09-14","","com.swaglabs.tests.CheckoutTests","com.swaglabs.tests.CheckoutTests","checkoutOverviewTotalsAreConsistent"
"Sorting by price, high to low, puts the priciest item first","1225","Verify that sorting by price high to low puts the priciest item first","","2026-09-14","passed","2026-09-14","","com.swaglabs.tests.ProductTests","com.swaglabs.tests.ProductTests","canSortProductsByPriceHighToLow"
"Invalid credentials are rejected with the exact Swag Labs error message","1267","invalidLoginIsRejected(String, String, String) Verify that login is rejected for locked_out_user","","2026-09-14","passed","2026-09-14","","com.swaglabs.tests.LoginTests","com.swaglabs.tests.LoginTests","invalidLoginIsRejected"
"Checkout can be completed even when the cart is empty","2072","Verify that checkout can be completed even when the cart is empty","","2026-09-14","passed","2026-09-14","","com.swaglabs.tests.CheckoutTests","com.swaglabs.tests.CheckoutTests","canCheckoutWithEmptyCart"
"Checkout step one rejects submission when the postal code is missing","1797","Verify that checkout step one rejects submission when the postal code is missing","","2026-09-14","passed","2026-09-14","","com.swaglabs.tests.CheckoutTests","com.swaglabs.tests.CheckoutTests","checkoutRequiresPostalCode"
"An item added to the cart survives a round trip through its product details page","1597","Verify that an item added to the cart survives a round trip through its product details page","","2026-09-14","passed","2026-09-14","","com.swaglabs.tests.CartTests","com.swaglabs.tests.CartTests","cartSurvivesProductDetailsRoundTrip"
"Adding every seeded product updates the cart badge to match the full count","2101","Verify that adding every seeded product updates the cart badge to six","","2026-09-14","passed","2026-09-14","","com.swaglabs.tests.ProductTests","com.swaglabs.tests.ProductTests","addingAllProductsUpdatesBadgeToSix"
"Adding a product from its details page also updates the cart badge","1621","Verify that adding a product from its details page also updates the cart badge","","2026-09-14","passed","2026-09-14","","com.swaglabs.tests.ProductTests","com.swaglabs.tests.ProductTests","addingProductFromDetailsPageUpdatesCartBadge"
"A user can log out and log back in with the same credentials","2151","Verify that a user can log out and log back in with the same credentials","","2026-09-14","passed","2026-09-14","","com.swaglabs.tests.LoginTests","com.swaglabs.tests.LoginTests","canLogOutAndLogBackIn"
"Removing an item from the cart page decreases the item count","1602","Verify that removing an item from the cart page decreases the item count","","2026-09-14","passed","2026-09-14","","com.swaglabs.tests.CartTests","com.swaglabs.tests.CartTests","canRemoveItemFromCart"
"Inventory page lists all six seeded products","1157","Verify that the inventory page lists all six seeded products","","2026-09-14","passed","2026-09-14","","com.swaglabs.tests.ProductTests","com.swaglabs.tests.ProductTests","productsPageListsSixItems"
"Checkout step one rejects submission when the last name is missing","1778","Verify that checkout step one rejects submission when the last name is missingg","","2026-09-14","passed","2026-09-14","","com.swaglabs.tests.CheckoutTests","com.swaglabs.tests.CheckoutTests","checkoutRequiresLastName"
"Navigating directly to the inventory page without logging in is rejected","1024","Verify that navigating directly to the inventory page without logging in is rejected","","2026-09-14","passed","2026-09-14","","com.swaglabs.tests.LoginTests","com.swaglabs.tests.LoginTests","cannotAccessInventoryPageDirectlyWithoutLogin"
"Reset App State (hamburger menu) clears any items previously added to the cart","11498","Verify that Reset App State clears any items previously added to the cart","","2026-09-14","passed","2026-09-14","","com.swaglabs.tests.CartTests","com.swaglabs.tests.CartTests","resetAppStateClearsCart"
"Checkout step one rejects submission when the first name is missing","2148","Verify that checkout step one rejects submission when the first name is missing","","2026-09-14","passed","2026-09-14","","com.swaglabs.tests.CheckoutTests","com.swaglabs.tests.CheckoutTests","checkoutRequiresFirstName"
"Invalid credentials are rejected with the exact Swag Labs error message","1098","invalidLoginIsRejected(String, String, String) Verify that login is rejected for standard_user","","2026-09-14","passed","2026-09-14","","com.swaglabs.tests.LoginTests","com.swaglabs.tests.LoginTests","invalidLoginIsRejected"
"Continue Shopping returns from the cart to the full inventory pages","1621","Verify that Continue Shopping returns from the cart to the full inventory pagess","","2026-09-14","passed","2026-09-14","","com.swaglabs.tests.CartTests","com.swaglabs.tests.CartTests","continueShoppingReturnsToProducts"
"Items added on the products page appear in the cart","1482","Verify that items added on the products page appear in the cartt","","2026-09-14","passed","2026-09-14","","com.swaglabs.tests.CartTests","com.swaglabs.tests.CartTests","addedItemsAppearInCart"
"Back Home from the order confirmation page returns to the full inventory","1964","Verify that Back Home from the order confirmation page returns to the full inventory","","2026-09-14","passed","2026-09-14","","com.swaglabs.tests.CheckoutTests","com.swaglabs.tests.CheckoutTests","backHomeFromConfirmationReturnsToProducts"
